NO,Stok awal,In,Out,Stok Akhir,datetime
0,100,0,0,100,
1,100,0,0,100,
2,100,0,0,100,
3,100,0,0,100,
4,100,0,0,100,
5,100,0,0,100,
6,100,0,0,100,
7,100,0,0,100,
8,100,0,0,100,
9,100,0,0,100,
10,100,0,0,100,
11,100,0,0,100,
12,100,0,0,100,
13,100,0,0,100,
14,100,0,0,100,
15,100,0,0,100,
16,100,0,0,100,
17,100,0,0,100,
18,100,0,0,100,
19,100,0,0,100,
20,100,0,0,100,
21,100,0,0,100,
22,100,0,0,100,
23,100,0,0,100,
24,100,0,0,100,
25,100,0,0,100,
26,100,0,0,100,
27,100,0,0,100,
28,100,0,0,100,
29,100,0,0,100,
30,100,0,0,100,
31,100,0,0,100,
32,100,0,0,100,
33,100,0,0,100,
34,100,0,0,100,
35,100,0,0,100,
36,100,0,0,100,
37,100,0,0,100,
38,100,0,0,100,
39,100,0,0,100,
40,100,0,0,100,
41,100,0,0,100,
42,100,0,0,100,
43,100,0,0,100,
44,100,0,0,100,
45,100,0,0,100,
46,100,0,0,100,
47,100,0,0,100,
48,100,0,0,100,
49,100,0,0,100,
50,100,0,0,100,
51,100,0,0,100,
52,100,0,0,100,
53,100,0,0,100,
54,100,0,0,100,
55,100,0,0,100,
56,100,0,0,100,
57,100,0,0,100,
58,0,0,0,0,
59,100,0,0,100,
60,0,0,0,0,
61,100,0,0,100,
62,0,0,0,0,
63,100,0,0,100,
64,0,0,0,0,
65,100,0,0,100,
66,0,0,0,0,
67,100,0,0,100,
68,100,0,0,100,
69,100,0,0,100,
70,100,0,0,100,
71,100,0,0,100,
72,100,0,0,100,
73,100,0,0,100,
74,100,0,0,100,
75,100,0,0,100,
76,100,0,0,100,
77,100,0,0,100,
78,100,0,0,100,
79,100,0,0,100,
80,100,0,0,100,
81,100,0,0,100,
82,100,0,0,100,
83,100,0,0,100,
84,100,0,0,100,
85,100,0,0,100,
86,100,0,0,100,
87,100,0,0,100,
88,100,0,0,100,
89,100,0,0,100,
90,100,0,0,100,
91,100,0,0,100,
92,100,0,0,100,
93,100,0,0,100,
94,100,0,0,100,
95,100,0,0,100,
96,100,0,0,100,
97,100,0,0,100,
98,100,0,0,100,
99,100,0,0,100,
100,100,0,0,100,
101,100,0,0,100,
102,100,0,0,100,
103,100,0,0,100,
104,100,0,0,100,
105,100,0,0,100,
106,100,0,0,100,
107,100,0,0,100,
108,100,0,0,100,
109,100,0,0,100,
110,100,0,0,100,
111,100,0,0,100,
112,100,0,0,100,
113,100,0,0,100,
114,100,0,0,100,
115,100,0,0,100,
116,100,0,0,100,
117,100,0,0,100,
118,100,0,0,100,
119,100,0,0,100,
120,100,0,0,100,
121,100,0,0,100,
122,100,0,0,100,
123,100,0,0,100,
124,100,0,0,100,
125,100,0,0,100,
126,100,0,0,100,
127,100,0,0,100,
128,100,0,0,100,
129,100,0,0,100,
130,100,0,0,100,
131,100,0,0,100,
132,100,0,0,100,
133,100,0,0,100,
134,100,0,0,100,
135,100,0,0,100,
136,100,0,0,100,
137,100,0,0,100,
138,100,0,0,100,
139,100,0,0,100,
140,100,0,0,100,
141,100,0,0,100,
142,100,0,0,100,
143,100,0,0,100,
144,100,0,0,100,
145,100,0,0,100,
146,100,0,0,100,
147,100,0,0,100,
148,100,0,0,100,
149,100,0,0,100,
150,100,0,0,100,
151,100,0,0,100,
152,100,0,0,100,
153,100,0,0,100,
154,100,0,0,100,
155,100,0,0,100,
156,100,0,0,100,
157,100,0,0,100,
158,100,0,0,100,
159,100,0,0,100,
160,100,0,0,100,
161,100,0,0,100,
162,100,0,0,100,
163,100,0,0,100,
164,100,0,0,100,
165,100,0,0,100,
166,100,0,0,100,
167,100,0,0,100,
168,100,0,0,100,
169,100,0,0,100,
170,100,0,0,100,
171,100,0,0,100,
172,100,0,0,100,
173,100,0,0,100,
174,100,0,0,100,
175,100,0,0,100,
176,100,0,0,100,
177,100,0,0,100,
178,100,0,0,100,
179,100,0,0,100,
180,100,0,0,100,
181,100,0,0,100,
182,100,0,0,100,
183,100,0,0,100,
184,100,0,0,100,
185,100,0,0,100,
186,100,0,0,100,
187,100,0,0,100,
188,100,0,0,100,
189,100,0,0,100,
190,100,0,0,100,
191,100,0,0,100,
192,100,0,0,100,
193,100,0,0,100,
194,100,0,0,100,
195,100,0,0,100,
196,100,0,0,100,
197,100,0,0,100,
198,100,0,0,100,
199,100,0,0,100,
200,100,0,0,100,
3,100,20,0,120,20220601_1516
6,100,50,0,150,20220606_1707
92,100,0,35,65,20220606_1708
92,65,100,0,165,20220606_1708
5,100,60,0,160,20220607_1046
